model,basin,name,lead,CRPS,coverage90,reliability_TV,spread_skill,n
deterministic,camels_11482500,,3,1.2318150883668089,,,,730
CMAL,camels_11482500,,4,0.8760846538775773,0.7054794520547946,0.23630136986301373,3.040968181986801,730
deterministic,camels_11482500,,4,1.276444873172943,,,,730
CMAL,camels_11482500,,5,0.944592818396611,0.7068493150684931,0.24726027397260278,3.8104689934777256,730
deterministic,camels_11482500,,5,1.286256560070874,,,,730
CMAL,camels_11482500,,6,1.0215181147457464,0.6767123287671233,0.26506849315068504,3.32313844180969,730
deterministic,camels_11482500,,6,1.3631990155128584,,,,730
CMAL,camels_11482500,,7,1.1133839193858999,0.6602739726027397,0.28082191780821925,2.857671820006273,730
deterministic,camels_11482500,,7,1.5465312675253986,,,,730
CMAL,camels_11522500,,0,0.635031078648391,0.8,0.20136986301369864,4.151226743574347,730
deterministic,camels_11522500,,0,0.919336578535707,,,,730
CMAL,camels_11522500,,1,0.6980950096539088,0.7917808219178082,0.22534246575342465,3.41510246277205,730
deterministic,camels_11522500,,1,0.9526437927598823,,,,730
CMAL,camels_11522500,,2,0.7078413360678245,0.7863013698630137,0.21917808219178084,3.643301058297571,730
deterministic,camels_11522500,,2,0.9352519368472164,,,,730
CMAL,camels_11522500,,3,0.7024555342579604,0.7808219178082192,0.20410958904109588,3.144859572907391,730
deterministic,camels_11522500,,3,0.9455898408203909,,,,730
CMAL,camels_11522500,,4,0.7168193155255214,0.8027397260273973,0.21917808219178078,3.8370385489881653,730
deterministic,camels_11522500,,4,0.9443753789549004,,,,730
CMAL,camels_11522500,,5,0.7223848752389134,0.8136986301369863,0.20753424657534247,2.867242551706497,730
deterministic,camels_11522500,,5,0.9614818656281249,,,,730
CMAL,camels_11522500,,6,0.721785761692009,0.8328767123287671,0.19863013698630136,3.0481142229455496,730
deterministic,camels_11522500,,6,0.9787842705641707,,,,730
CMAL,camels_11522500,,7,0.7590637209207177,0.821917808219178,0.21095890410958906,3.593753101902018,730
deterministic,camels_11522500,,7,1.0898091658337477,,,,730
CMAL,camels_11523200,,0,0.7030405728117057,0.8465753424657534,0.1849315068493151,3.896397024865083,730
deterministic,camels_11523200,,0,1.1838000943399456,,,,730
CMAL,camels_11523200,,1,0.768372901032912,0.8273972602739726,0.1952054794520548,3.7729712389110546,730
deterministic,camels_11523200,,1,1.2075620109087801,,,,730
CMAL,camels_11523200,,2,0.7639225257809023,0.826027397260274,0.2,3.6047040628089393,730
deterministic,camels_11523200,,2,1.1849747096839016,,,,730
CMAL,camels_11523200,,3,0.7738066151598788,0.8246575342465754,0.19589041095890417,4.073068425088773,730
deterministic,camels_11523200,,3,1.201599699503755,,,,730
CMAL,camels_11523200,,4,0.7616861417479741,0.8205479452054795,0.18287671232876715,3.058603085313957,730
deterministic,camels_11523200,,4,1.1620811325230012,,,,730
CMAL,camels_11523200,,5,0.8137004482606657,0.821917808219178,0.19657534246575348,3.0717778615021634,730
deterministic,camels_11523200,,5,1.19809357458598,,,,730
CMAL,camels_11523200,,6,0.8445444629694835,0.8027397260273973,0.2034246575342466,2.927762846847891,730
deterministic,camels_11523200,,6,1.269568843139361,,,,730
CMAL,camels_11523200,,7,0.9311902285300105,0.7821917808219178,0.2267123287671233,1.9473909616949578,730
deterministic,camels_11523200,,7,1.3135245300319096,,,,730
CMAL,camels_11528700,,0,0.4932531728341871,0.7479452054794521,0.2856164383561644,3.7781564357578308,730
deterministic,camels_11528700,,0,0.8220678601362934,,,,730
CMAL,camels_11528700,,1,0.5769703249810944,0.726027397260274,0.289041095890411,1.910795744906342,730
