basin,variant,lead,n,issue_date_first,issue_date_last,valid_date_first,valid_date_last,coverage90,crps
camels_11522500,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.7898351648351648,0.6997029540607322
camels_11522500,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.7878787878787878,0.7108757118280326
camels_11522500,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.7859116022099447,0.7070556872786812
camels_11522500,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.8005540166204986,0.7258413429294633
camels_11522500,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.8125,0.7308003991176242
camels_11522500,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.8328690807799443,0.7316800345012844
camels_11522500,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.8114525139664804,0.7749968680196199
camels_11523200,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.8534246575342466,0.6992896470406345
camels_11523200,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.820054945054945,0.7718346300372074
camels_11523200,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.8236914600550964,0.7645576872121358
camels_11523200,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.8204419889502762,0.7807937275371744
camels_11523200,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.8240997229916898,0.766206507959521
camels_11523200,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.8194444444444444,0.8266478928056084
camels_11523200,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.8022284122562674,0.8555271268641191
camels_11523200,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.7793296089385475,0.9482295683948829
camels_11528700,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.7452054794520548,0.4935431840597753
camels_11528700,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.7252747252747253,0.5806964510987386
camels_11528700,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.7231404958677686,0.591662105892848
camels_11528700,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.7182320441988951,0.5882737142720158
camels_11528700,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.7326869806094183,0.5846098377578306
camels_11528700,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.7222222222222222,0.6240628471406641
camels_11528700,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.724233983286908,0.6742018558552103
camels_11528700,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.7094972067039106,0.7187649817953826
camels_11532500,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.9082191780821918,1.323527404120687
camels_11532500,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.8791208791208791,1.6506780074744243
camels_11532500,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.8815426997245179,1.6998094181017132
camels_11532500,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.8798342541436464,1.6991011738479294
camels_11532500,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.8753462603878116,1.7767516034907063
camels_11532500,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.8569444444444444,1.9134269406784836
camels_11532500,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.8454038997214485,1.9893587894225386
camels_11532500,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.8226256983240223,2.1067828330143095
camels_10336645,global,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.6712328767123288,1.5820917460266908
camels_10336645,global,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.6634615384615384,1.5910345097821121
camels_10336645,global,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.662534435261708,1.5934749891295836
camels_10336645,global,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.6685082872928176,1.5973906381487648
camels_10336645,global,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.6717451523545707,1.614689876311947
camels_10336645,global,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.6652777777777777,1.635288955901222
camels_10336645,global,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.6643454038997214,1.667449926337246
camels_10336645,global,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.6606145251396648,1.6943714795415128
